DATE	ASS_ASSIGNMENT	prediction
2012-12-28 00:00:00.000	CMS	0.0
2012-12-28 00:00:00.000	Crises	0.0
2012-12-28 00:00:00.000	Domicile	0.0
2012-12-28 00:00:00.000	Gestion	0.0
2012-12-28 00:00:00.000	Gestion - Accueil Telephonique	0.0
2012-12-28 00:00:00.000	Gestion Assurances	0.0
2012-12-28 00:00:00.000	Gestion Relation Clienteles	0.0
2012-12-28 00:00:00.000	Gestion Renault	0.0
2012-12-28 00:00:00.000	Japon	0.8
2012-12-28 00:00:00.000	Médical	0.0
2012-12-28 00:00:00.000	Nuit	16.1
2012-12-28 00:00:00.000	RENAULT	0.0
2012-12-28 00:00:00.000	Regulation Medicale	0.3
2012-12-28 00:00:00.000	SAP	0.0
2012-12-28 00:00:00.000	Services	0.6
2012-12-28 00:00:00.000	Tech. Axa	0.0
2012-12-28 00:00:00.000	Tech. Inter	0.2
2012-12-28 00:00:00.000	Téléphonie	3.1
2012-12-28 00:30:00.000	CMS	0.0
2012-12-28 00:30:00.000	Crises	0.0
2012-12-28 00:30:00.000	Domicile	0.0
2012-12-28 00:30:00.000	Gestion	0.0
2012-12-28 00:30:00.000	Gestion - Accueil Telephonique	0.0
2012-12-28 00:30:00.000	Gestion Assurances	0.0
2012-12-28 00:30:00.000	Gestion Relation Clienteles	0.0
2012-12-28 00:30:00.000	Gestion Renault	0.0
2012-12-28 00:30:00.000	Japon	0.8
2012-12-28 00:30:00.000	Médical	0.0
2012-12-28 00:30:00.000	Nuit	12.7
2012-12-28 00:30:00.000	RENAULT	0.4
2012-12-28 00:30:00.000	Regulation Medicale	0.8
2012-12-28 00:30:00.000	SAP	0.0
2012-12-28 00:30:00.000	Services	0.5
2012-12-28 00:30:00.000	Tech. Axa	0.0
2012-12-28 00:30:00.000	Tech. Inter	0.0
2012-12-28 00:30:00.000	Téléphonie	2.3
2012-12-28 01:00:00.000	CMS	0.0
2012-12-28 01:00:00.000	Crises	0.0
2012-12-28 01:00:00.000	Domicile	0.0
2012-12-28 01:00:00.000	Gestion	0.0
2012-12-28 01:00:00.000	Gestion - Accueil Telephonique	0.0
2012-12-28 01:00:00.000	Gestion Assurances	0.0
2012-12-28 01:00:00.000	Gestion Relation Clienteles	0.0
2012-12-28 01:00:00.000	Gestion Renault	0.0
2012-12-28 01:00:00.000	Japon	0.7
2012-12-28 01:00:00.000	Médical	0.0
2012-12-28 01:00:00.000	Nuit	12.1
2012-12-28 01:00:00.000	RENAULT	0.4
2012-12-28 01:00:00.000	Regulation Medicale	0.0
2012-12-28 01:00:00.000	SAP	0.0
2012-12-28 01:00:00.000	Services	0.7
2012-12-28 01:00:00.000	Tech. Axa	0.0
2012-12-28 01:00:00.000	Tech. Inter	0.0
2012-12-28 01:00:00.000	Téléphonie	4.0
2012-12-28 01:30:00.000	CMS	0.0
2012-12-28 01:30:00.000	Crises	0.0
2012-12-28 01:30:00.000	Domicile	0.0
2012-12-28 01:30:00.000	Gestion	0.0
2012-12-28 01:30:00.000	Gestion - Accueil Telephonique	0.0
2012-12-28 01:30:00.000	Gestion Assurances	0.0
2012-12-28 01:30:00.000	Gestion Relation Clienteles	0.0
2012-12-28 01:30:00.000	Gestion Renault	0.0
2012-12-28 01:30:00.000	Japon	0.6
2012-12-28 01:30:00.000	Médical	0.0
2012-12-28 01:30:00.000	Nuit	7.2
2012-12-28 01:30:00.000	RENAULT	0.4
2012-12-28 01:30:00.000	Regulation Medicale	0.4
2012-12-28 01:30:00.000	SAP	0.0
2012-12-28 01:30:00.000	Services	0.2
2012-12-28 01:30:00.000	Tech. Axa	0.0
2012-12-28 01:30:00.000	Tech. Inter	0.0
2012-12-28 01:30:00.000	Téléphonie	3.5
2012-12-28 02:00:00.000	CMS	0.0
2012-12-28 02:00:00.000	Crises	0.0
2012-12-28 02:00:00.000	Domicile	0.0
2012-12-28 02:00:00.000	Gestion	0.0
2012-12-28 02:00:00.000	Gestion - Accueil Telephonique	0.0
2012-12-28 02:00:00.000	Gestion Assurances	0.0
2012-12-28 02:00:00.000	Gestion Relation Clienteles	0.0
2012-12-28 02:00:00.000	Gestion Renault	0.0
2012-12-28 02:00:00.000	Japon	0.6
2012-12-28 02:00:00.000	Médical	0.0
2012-12-28 02:00:00.000	Nuit	5.7
2012-12-28 02:00:00.000	RENAULT	0.4
2012-12-28 02:00:00.000	Regulation Medicale	0.0
2012-12-28 02:00:00.000	SAP	0.0
2012-12-28 02:00:00.000	Services	0.1
2012-12-28 02:00:00.000	Tech. Axa	0.0
2012-12-28 02:00:00.000	Tech. Inter	0.0
2012-12-28 02:00:00.000	Téléphonie	2.2
2012-12-28 02:30:00.000	CMS	0.0
2012-12-28 02:30:00.000	Crises	0.0
2012-12-28 02:30:00.000	Domicile	0.0
2012-12-28 02:30:00.000	Gestion	0.0
2012-12-28 02:30:00.000	Gestion - Accueil Telephonique	0.0
2012-12-28 02:30:00.000	Gestion Assurances	0.0
2012-12-28 02:30:00.000	Gestion Relation Clienteles	0.0
2012-12-28 02:30:00.000	Gestion Renault	0.0
2012-12-28 02:30:00.000	Japon	0.6
2012-12-28 02:30:00.000	Médical	0.0
2012-12-28 02:30:00.000	Nuit	7.6
2012-12-28 02:30:00.000	RENAULT	0.4
2012-12-28 02:30:00.000	Regulation Medicale	0.0
2012-12-28 02:30:00.000	SAP	0.0
2012-12-28 02:30:00.000	Services	0.0
2012-12-28 02:30:00.000	Tech. Axa	0.0
2012-12-28 02:30:00.000	Tech. Inter	0.0
2012-12-28 02:30:00.000	Téléphonie	1.0
2012-12-28 03:00:00.000	CMS	0.0
2012-12-28 03:00:00.000	Crises	0.0
2012-12-28 03:00:00.000	Domicile	0.0
2012-12-28 03:00:00.000	Gestion	0.0
2012-12-28 03:00:00.000	Gestion - Accueil Telephonique	0.0
2012-12-28 03:00:00.000	Gestion Assurances	0.0
2012-12-28 03:00:00.000	Gestion Relation Clienteles	0.0
2012-12-28 03:00:00.000	Gestion Renault	0.0
2012-12-28 03:00:00.000	Japon	0.6
2012-12-28 03:00:00.000	Médical	0.0
2012-12-28 03:00:00.000	Nuit	6.2
2012-12-28 03:00:00.000	RENAULT	0.4
2012-12-28 03:00:00.000	Regulation Medicale	0.0
2012-12-28 03:00:00.000	SAP	0.0
2012-12-28 03:00:00.000	Services	0.0
2012-12-28 03:00:00.000	Tech. Axa	0.0
2012-12-28 03:00:00.000	Tech. Inter	0.0
2012-12-28 03:00:00.000	Téléphonie	1.3
2012-12-28 03:30:00.000	CMS	0.0
2012-12-28 03:30:00.000	Crises	0.0
2012-12-28 03:30:00.000	Domicile	0.0
2012-12-28 03:30:00.000	Gestion	0.0
2012-12-28 03:30:00.000	Gestion - Accueil Telephonique	0.0
2012-12-28 03:30:00.000	Gestion Assurances	0.0
2012-12-28 03:30:00.000	Gestion Relation Clienteles	0.0
2012-12-28 03:30:00.000	Gestion Renault	0.0
2012-12-28 03:30:00.000	Japon	0.6
2012-12-28 03:30:00.000	Médical	0.0
2012-12-28 03:30:00.000	Nuit	6.4
2012-12-28 03:30:00.000	RENAULT	0.4
2012-12-28 03:30:00.000	Regulation Medicale	0.0
2012-12-28 03:30:00.000	SAP	0.0
2012-12-28 03:30:00.000	Services	0.0
2012-12-28 03:30:00.000	Tech. Axa	0.0
2012-12-28 03:30:00.000	Tech. Inter	0.0
2012-12-28 03:30:00.000	Téléphonie	1.5
2012-12-28 04:00:00.000	CMS	0.0
2012-12-28 04:00:00.000	Crises	0.0
2012-12-28 04:00:00.000	Domicile	0.0
2012-12-28 04:00:00.000	Gestion	0.0
2012-12-28 04:00:00.000	Gestion - Accueil Telephonique	0.0
2012-12-28 04:00:00.000	Gestion Assurances	0.0
2012-12-28 04:00:00.000	Gestion Relation Clienteles	0.0
2012-12-28 04:00:00.000	Gestion Renault	0.0
2012-12-28 04:00:00.000	Japon	0.3
2012-12-28 04:00:00.000	Médical	0.0
2012-12-28 04:00:00.000	Nuit	5.6
2012-12-28 04:00:00.000	RENAULT	0.4
2012-12-28 04:00:00.000	Regulation Medicale	0.0
2012-12-28 04:00:00.000	SAP	0.0
2012-12-28 04:00:00.000	Services	0.0
2012-12-28 04:00:00.000	Tech. Axa	0.0
2012-12-28 04:00:00.000	Tech. Inter	0.0
2012-12-28 04:00:00.000	Téléphonie	1.3
2012-12-28 04:30:00.000	CMS	0.0
2012-12-28 04:30:00.000	Crises	0.0
2012-12-28 04:30:00.000	Domicile	0.0
2012-12-28 04:30:00.000	Gestion	0.0
2012-12-28 04:30:00.000	Gestion - Accueil Telephonique	0.0
2012-12-28 04:30:00.000	Gestion Assurances	0.0
2012-12-28 04:30:00.000	Gestion Relation Clienteles	0.0
2012-12-28 04:30:00.000	Gestion Renault	0.0
2012-12-28 04:30:00.000	Japon	0.3
2012-12-28 04:30:00.000	Médical	0.0
2012-12-28 04:30:00.000	Nuit	6.2
2012-12-28 04:30:00.000	RENAULT	0.0
2012-12-28 04:30:00.000	Regulation Medicale	0.0
2012-12-28 04:30:00.000	SAP	0.0
2012-12-28 04:30:00.000	Services	0.4
2012-12-28 04:30:00.000	Tech. Axa	0.0
2012-12-28 04:30:00.000	Tech. Inter	0.0
2012-12-28 04:30:00.000	Téléphonie	2.0
2012-12-28 05:00:00.000	CMS	0.0
2012-12-28 05:00:00.000	Crises	0.0
2012-12-28 05:00:00.000	Domicile	0.0
2012-12-28 05:00:00.000	Gestion	0.0
2012-12-28 05:00:00.000	Gestion - Accueil Telephonique	0.0
2012-12-28 05:00:00.000	Gestion Assurances	0.0
2012-12-28 05:00:00.000	Gestion Relation Clienteles	0.0
2012-12-28 05:00:00.000	Gestion Renault	0.0
2012-12-28 05:00:00.000	Japon	0.2
2012-12-28 05:00:00.000	Médical	0.0
2012-12-28 05:00:00.000	Nuit	6.1
2012-12-28 05:00:00.000	RENAULT	0.0
2012-12-28 05:00:00.000	Regulation Medicale	0.0
2012-12-28 05:00:00.000	SAP	0.0
2012-12-28 05:00:00.000	Services	0.4
2012-12-28 05:00:00.000	Tech. Axa	0.0
2012-12-28 05:00:00.000	Tech. Inter	0.1
2012-12-28 05:00:00.000	Téléphonie	1.7
2012-12-28 05:30:00.000	CMS	0.0
2012-12-28 05:30:00.000	Crises	0.0
2012-12-28 05:30:00.000	Domicile	0.0
2012-12-28 05:30:00.000	Gestion	0.0
2012-12-28 05:30:00.000	Gestion - Accueil Telephonique	0.0
2012-12-28 05:30:00.000	Gestion Assurances	0.0
2012-12-28 05:30:00.000	Gestion Relation Clienteles	0.0
2012-12-28 05:30:00.000	Gestion Renault	0.0
2012-12-28 05:30:00.000	Japon	0.2
2012-12-28 05:30:00.000	Médical	0.0
2012-12-28 05:30:00.000	Nuit	9.2
2012-12-28 05:30:00.000	RENAULT	0.0
2012-12-28 05:30:00.000	Regulation Medicale	0.4
2012-12-28 05:30:00.000	SAP	0.0
2012-12-28 05:30:00.000	Services	0.4
2012-12-28 05:30:00.000	Tech. Axa	0.0
2012-12-28 05:30:00.000	Tech. Inter	0.1
2012-12-28 05:30:00.000	Téléphonie	2.6
2012-12-28 06:00:00.000	CMS	0.0
2012-12-28 06:00:00.000	Crises	0.0
2012-12-28 06:00:00.000	Domicile	0.0
2012-12-28 06:00:00.000	Gestion	0.0
2012-12-28 06:00:00.000	Gestion - Accueil Telephonique	0.0
2012-12-28 06:00:00.000	Gestion Assurances	0.0
2012-12-28 06:00:00.000	Gestion Relation Clienteles	0.0
2012-12-28 06:00:00.000	Gestion Renault	0.0
2012-12-28 06:00:00.000	Japon	0.0
2012-12-28 06:00:00.000	Médical	0.0
2012-12-28 06:00:00.000	Nuit	9.9
2012-12-28 06:00:00.000	RENAULT	0.0
2012-12-28 06:00:00.000	Regulation Medicale	0.0
2012-12-28 06:00:00.000	SAP	0.0
2012-12-28 06:00:00.000	Services	0.4
2012-12-28 06:00:00.000	Tech. Axa	0.0
2012-12-28 06:00:00.000	Tech. Inter	0.1
2012-12-28 06:00:00.000	Téléphonie	3.7
2012-12-28 06:30:00.000	CMS	0.0
2012-12-28 06:30:00.000	Crises	0.0
2012-12-28 06:30:00.000	Domicile	0.0
2012-12-28 06:30:00.000	Gestion	0.0
2012-12-28 06:30:00.000	Gestion - Accueil Telephonique	0.0
2012-12-28 06:30:00.000	Gestion Assurances	0.0
2012-12-28 06:30:00.000	Gestion Relation Clienteles	0.0
2012-12-28 06:30:00.000	Gestion Renault	0.0
2012-12-28 06:30:00.000	Japon	0.0
2012-12-28 06:30:00.000	Médical	0.0
2012-12-28 06:30:00.000	Nuit	9.8
2012-12-28 06:30:00.000	RENAULT	0.0
2012-12-28 06:30:00.000	Regulation Medicale	0.0
2012-12-28 06:30:00.000	SAP	0.0
2012-12-28 06:30:00.000	Services	0.0
2012-12-28 06:30:00.000	Tech. Axa	0.0
2012-12-28 06:30:00.000	Tech. Inter	0.4
2012-12-28 06:30:00.000	Tech. Total	0.4
2012-12-28 06:30:00.000	Téléphonie	4.5
2012-12-28 07:00:00.000	CMS	0.0
2012-12-28 07:00:00.000	Crises	0.0
2012-12-28 07:00:00.000	Domicile	0.0
2012-12-28 07:00:00.000	Gestion	0.0
2012-12-28 07:00:00.000	Gestion - Accueil Telephonique	0.0
2012-12-28 07:00:00.000	Gestion Assurances	0.0
2012-12-28 07:00:00.000	Gestion Relation Clienteles	0.0
2012-12-28 07:00:00.000	Gestion Renault	0.0
2012-12-28 07:00:00.000	Japon	0.3
2012-12-28 07:00:00.000	Mécanicien	0.0
2012-12-28 07:00:00.000	Médical	0.0
2012-12-28 07:00:00.000	Nuit	15.6
2012-12-28 07:00:00.000	RENAULT	0.1
2012-12-28 07:00:00.000	Regulation Medicale	0.0
2012-12-28 07:00:00.000	SAP	0.0
2012-12-28 07:00:00.000	Services	0.0
2012-12-28 07:00:00.000	Tech. Axa	0.1
2012-12-28 07:00:00.000	Tech. Inter	0.4
